"Date","Price","Open","High","Low","Vol.","Change %"
"May 13, 2011","1,331.13","1,344.25","1,352.88","1,321.75","-","-0.99%"
"May 12, 2011","1,344.38","1,332.13","1,357.75","1,313.88","-","0.82%"
"May 11, 2011","1,333.38","1,342.00","1,343.38","1,313.63","-","-0.55%"
"May 10, 2011","1,340.75","1,333.38","1,352.88","1,333.13","-","0.57%"
"May 09, 2011","1,333.13","1,330.13","1,341.75","1,328.25","-","0.14%"
"May 08, 2011","1,331.25","1,326.88","1,331.25","1,323.75","-","0.26%"
"May 06, 2011","1,327.75","1,323.75","1,340.63","1,306.75","-","0.31%"
"May 05, 2011","1,323.63","1,349.13","1,361.25","1,310.13","-","-1.87%"
"May 04, 2011","1,348.88","1,363.38","1,367.38","1,347.50","-","-1.05%"
"May 03, 2011","1,363.13","1,392.00","1,393.38","1,355.75","-","-2.09%"
"May 02, 2011","1,392.25","1,388.13","1,402.13","1,381.63","-","0.31%"
"May 01, 2011","1,388.00","1,391.00","1,393.63","1,383.88","-","-0.49%"
"Apr 29, 2011","1,394.88","1,348.75","1,394.88","1,348.75","-","3.42%"
"Apr 28, 2011","1,348.75","1,389.75","1,400.38","1,338.63","-","-3.01%"
"Apr 27, 2011","1,390.63","1,389.63","1,396.63","1,368.50","-","0.11%"
"Apr 26, 2011","1,389.13","1,396.75","1,396.75","1,378.13","-","-0.50%"
"Apr 25, 2011","1,396.13","1,396.63","1,398.50","1,380.88","-","-0.04%"
"Apr 24, 2011","1,396.75","1,390.25","1,397.38","1,389.25","-","0.48%"
"Apr 22, 2011","1,390.13","1,390.13","1,390.13","1,390.13","-","0.04%"
"Apr 21, 2011","1,389.63","1,372.25","1,391.88","1,363.13","-","1.26%"
"Apr 20, 2011","1,372.38","1,354.75","1,384.50","1,354.63","-","1.34%"
"Apr 19, 2011","1,354.25","1,357.50","1,360.38","1,348.13","-","-0.21%"
"Apr 18, 2011","1,357.13","1,338.88","1,361.50","1,332.13","-","1.43%"
"Apr 17, 2011","1,338.00","1,343.13","1,345.00","1,338.00","-","0.46%"
"Apr 15, 2011","1,331.88","1,334.00","1,338.38","1,322.63","-","-0.18%"
"Apr 14, 2011","1,334.25","1,333.13","1,337.63","1,316.88","-","0.10%"
"Apr 13, 2011","1,332.88","1,330.63","1,348.63","1,329.63","-","0.19%"
"Apr 12, 2011","1,330.38","1,362.88","1,370.25","1,318.38","-","-2.38%"
"Apr 11, 2011","1,362.75","1,405.50","1,406.13","1,360.13","-","-3.02%"
"Apr 10, 2011","1,405.25","1,395.88","1,406.38","1,395.88","-","0.98%"
"Apr 08, 2011","1,391.63","1,365.38","1,393.88","1,364.88","-","1.94%"
