DATE,ECBASSETSW
2016-01-08,2766889.0
2016-01-15,2778265.0
2016-01-22,2794527.0
2016-01-29,2808331.0
2016-02-05,2811913.0
2016-02-12,2827603.0
2016-02-19,2837575.0
2016-02-26,2850299.0
2016-03-04,2859841.0
2016-03-11,2872321.0
2016-03-18,2886198.0
2016-03-25,2897696.0
2016-04-01,2941761.0
2016-04-08,2953136.0
2016-04-15,2966107.0
2016-04-22,2983183.0
2016-04-29,3000759.0
2016-05-06,3017789.0
2016-05-13,3032840.0
2016-05-20,3054101.0
2016-05-27,3067481.0
2016-06-03,3078612.0
2016-06-10,3093866.0
2016-06-17,3109588.0
2016-06-24,3131095.0
2016-07-01,3232618.0
2016-07-08,3237920.0
2016-07-15,3249177.0
2016-07-22,3265838.0
2016-07-29,3284309.0
2016-08-05,3286139.0
2016-08-12,3296568.0
2016-08-19,3313323.0
2016-08-26,3330487.0
2016-09-02,3341775.0
2016-09-09,3358742.0
2016-09-16,3372373.0
2016-09-23,3391402.0
2016-09-30,3438145.0
2016-10-07,3451426.0
2016-10-14,3469281.0
2016-10-21,3494929.0
2016-10-28,3507401.0
2016-11-04,3518455.0
2016-11-11,3534266.0
2016-11-18,3553353.0
2016-11-25,3566230.0
2016-12-02,3587380.0
2016-12-09,3609773.0
2016-12-16,3630732.0
2016-12-23,3685708.0
2016-12-30,3662901
2017-01-06,3672638
2017-01-13,3697302
2017-01-20,3719624
2017-01-27,3740766
2017-02-03,3749499
2017-02-10,3770942
2017-02-17,3787893
2017-02-24,3808242
2017-03-03,3820341
2017-03-10,3839855
2017-03-17,3856913
2017-03-24,3877037
2017-03-31,4100730
2017-04-07,4116353
2017-04-14,4129996
2017-04-21,4139398
2017-04-28,4148032
2017-05-05,4156826
2017-05-12,4170588
2017-05-19,4185693
2017-05-26,4195685
2017-06-02,4204543
2017-06-09,4218129
2017-06-16,4232941
2017-06-23,4246150
2017-06-30,4209510
2017-07-07,4214696
2017-07-14,4229286
2017-07-21,4235758
2017-07-28,4248280
2017-08-04,4246485
2017-08-11,4255955
2017-08-18,4265713
2017-08-25,4278881
2017-09-01,4283727
2017-09-08,4299776
2017-09-15,4308875
2017-09-22,4328211
2017-09-29,4318624
2017-10-06,4337684
2017-10-13,4371623
2017-10-20,4363408
2017-10-27,4371222
2017-11-03,4373200
2017-11-10,4387732
2017-11-17,4411864
2017-11-24,4427474
2017-12-01,4440791
2017-12-08,4456579
2017-12-15,4471856
2017-12-22,4487284
2017-12-29,4471563.0
2018-01-05,4466001
2018-01-12,4472739
2018-01-19,4484003
2018-01-26,4493058
