Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Comprar_EMA_7d_ET;Mantener_posicion_EMA_7d_ET;Vender_EMA_7d_ET;Comprar_HTTL_ET;Mantener_posicion_HTTL_ET;Vender_HTTL_ET;Comprar_PSAR_ET;Mantener_posicion_PSAR_ET;Vender_PSAR_ET
2016-11-07;705.4;709.9;711.7;698.3;30740.0;-0.64;0.0;1279.4;2.358;1726.25;709.4857142857143;-16.912265523107877;704.0045046242697;672.1148390739694;717.8535794693145;700.8799999999999;683.9064205306853;741.4696;72.17684136818878;19.803125044164467;717.4228571428571;678.277142857143;8.486789734657306;2131.52;5166.17;18259.6;0;1;0;0;1;0;0;1;0
2016-11-08;710.9;705.4;714.6;701.0;39730.0;0.78;1.0;1274.5;2.43;1729.75;711.3285714285713;-1.3672995367129888;705.7283784682022;674.2540810276679;713.5616041061156;706.0799999999999;698.5983958938842;740.048208;69.92135269903241;19.36004468386701;714.0857142857141;690.1714285714288;3.74080205305783;2139.56;5193.49;18332.74;0;1;0;0;1;0;0;1;0
2016-11-09;721.4;710.9;741.2;707.1;70700.0;1.48;1.0;1273.5;2.5075;1751.5;711.6428571428571;-18.05488457072675;709.6462838511517;676.9805253623188;723.0344873897553;709.9399999999999;696.8455126102446;670.4;91.52697036338726;20.412898635019367;715.1228571428568;695.8057142857145;6.547243694877669;2163.26;5251.07;18589.69;0;1;0;0;1;0;1;0;0
2016-11-10;714.6;721.4;723.0;707.3;33330.0;-0.95;0.0;1266.4;2.5965;1768.5;710.5142857142855;27.229241012998635;710.8847128883638;679.3032333333333;723.1482024635517;712.4399999999999;701.7317975364482;671.816;84.98932962314532;20.076263018232275;714.162857142857;701.3800000000001;5.354101231775857;2167.48;5208.8;18807.88;0;1;0;0;1;0;0;1;0
2016-11-11;715.0;714.6;719.8;711.7;25580.0;0.06;1.0;1224.3;2.554;1742.5;710.4;19.773489401189742;711.9135346662729;681.9445499999999;723.9759688094031;713.4599999999999;702.9440311905968;673.2036800000001;78.91866322149208;19.220815659787103;712.9400000000002;706.7171428571427;5.257984404701589;2164.45;5237.11;18847.66;0;1;0;0;1;0;0;1;0
2016-11-12;704.3;715.0;717.4;701.1;27600.0;-1.5;0.0;1224.3;2.554;1742.5;710.4285714285714;-6.177409818355734;710.0101509997046;684.5947;724.4447132939702;713.24;702.0352867060299;674.5636064;73.28161584852836;19.01218596980231;712.2571428571422;705.8714285714289;5.6023566469850525;2164.45;5237.11;18847.66;0;0;1;0;1;0;0;1;0
2016-11-13;702.0;704.3;705.6;685.0;36140.0;-0.33;0.0;1224.3;2.554;1742.5;713.1285714285715;-7.819442393856221;708.0076132497784;687.348;725.936242606427;711.4599999999999;696.9837573935729;675.896334272;68.04721471649061;19.125601257673573;708.7599999999993;710.0400000000006;7.238121303213491;2164.45;5237.11;18847.66;0;1;0;0;1;0;0;1;0
2016-11-14;704.6;702.0;708.0;696.1;37750.0;0.37;1.0;1221.7;2.561;1732.5;716.4;-24.626551237393542;707.1557099373338;691.3524666666666;719.1908971684265;708.0999999999999;697.0091028315733;677.20240758656;65.5866993795984;18.60948688212546;705.9971428571422;713.6457142857147;5.545448584213292;2164.2;5218.4;18868.69;0;1;0;0;1;0;0;1;0
2016-11-15;711.1;704.6;716.9;697.9;41400.0;0.93;1.0;1224.5;2.545;1735.0;720.9714285714285;-10.810156679570168;708.1417824530004;695.6252326086956;717.1184360882065;707.3999999999999;697.6815639117932;678.4823594348287;69.8019351381985;18.63738067625936;708.7514285714284;708.6485714285715;4.859218044103313;2180.39;5275.62;18923.06;1;0;0;0;1;0;0;1;0
2016-11-16;740.3;711.1;746.0;708.1;79570.0;4.1;1.0;1223.9;2.512;1697.5;727.1999999999999;-14.712027427869591;716.1813368397502;699.8970420289854;740.9512898971046;712.4599999999998;683.968710102895;679.7367122461321;93.9160826283272;20.013282056526545;720.4200000000004;697.9514285714283;14.24564494855243;2176.94;5294.58;18868.14;0;1;0;0;1;0;0;1;0
2016-11-17;737.5;740.3;751.9;730.1;62770.0;-0.37;0.0;1216.9;2.5355;1688.5;730.9857142857143;29.657812441569853;721.5110026298127;704.5988356389987;752.0200243013434;719.0999999999998;686.1799756986562;682.3872437562868;93.1077910120181;20.140904766774646;724.231428571429;701.6542857142855;16.46001215067178;2187.12;5333.97;18903.82;0;1;0;0;1;0;0;1;0
2016-11-18;747.0;737.5;751.4;731.0;39710.0;1.28;1.0;1208.7;2.5115;1694.75;735.5;26.67348940118972;727.8832519723595;708.5646837944664;761.9899395101386;728.0999999999998;694.210060489861;686.5580091309096;86.45723451115967;20.159411569147885;731.4399999999999;700.86;16.94496975506938;2181.9;5321.51;18867.93;0;1;0;0;1;0;0;1;0
2016-11-19;747.9;747.0;755.3;737.4;25630.0;0.12;1.0;1208.7;2.5115;1694.75;740.9571428571428;6.894018753072935;732.8874389792696;712.012766798419;763.5998509683027;736.7599999999999;709.9201490316971;690.478528583055;84.18171776036253;19.99802502849446;737.5971428571429;701.2457142857144;13.419925484151408;2181.9;5321.51;18867.93;0;1;0;0;1;0;0;1;0
2016-11-20;728.5;747.9;752.3;712.8;47420.0;-2.59;0.0;1208.7;2.5115;1694.75;741.0714285714284;-9.262299536713172;731.7905792344523;714.2145454545455;754.3739874062569;740.2399999999999;726.1060125937429;695.6642462964106;78.16873792033664;21.391023240744858;738.5714285714286;702.9285714285714;7.066993703128517;2181.9;5321.51;18867.93;0;0;1;0;1;0;0;1;0
2016-11-21;736.2;728.5;744.3;726.5;32510.0;1.05;1.0;1209.8;2.5635;1722.25;740.7571428571426;-17.38369409453618;732.8929344258393;715.9609090909091;753.9160132450544;739.4199999999998;724.9239867549453;700.4351065926978;72.5852566403126;21.13452158069165;740.3514285714291;705.5485714285712;7.248006622527254;2198.18;5368.86;18956.69;1;0;0;0;1;0;0;1;0
2016-11-22;749.3;736.2;754.0;730.6;44440.0;1.79;1.0;1211.2;2.5905;1760.25;739.8142857142857;8.546986177572608;736.9947008193794;717.4478260869564;757.9972254100362;741.78;725.5627745899637;704.8242980652819;77.10059545171889;21.296341467785105;745.4057142857147;705.9799999999997;8.108612705018103;2202.94;5386.35;19023.87;0;1;0;0;1;0;0;1;0
2016-11-23;741.1;749.3;750.9;731.3;37870.0;-1.1;0.0;1189.3;2.641;1778.0;737.8428571428572;-24.55488457072675;738.0210256145346;719.0151778656126;755.9622914957523;740.5999999999999;725.2377085042475;708.8623542200594;71.5934100623104;21.17517422008617;748.7542857142856;705.4457142857143;7.681145747876186;2204.72;5380.68;19083.18;0;1;0;0;1;0;0;1;0
