Date;Price;Open;High;Low;Vol.;Percentage_diff;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Target;y_test_pred
2015-06-22;247.5;244.1;248.6;243.2;47590.0;1.38;1183.7;2.5005;1706.75;243.95714285714283;-9.283694094536417;244.2917607605258;233.46054626532887;249.4053033347041;245.81999999999945;242.2346966652948;257.71592;24.17237282523203;6.291937261435987;250.10285714285715;228.23999999999992;1.7926516673523487;2122.85;5153.97;18119.78;0.0;1.0
2014-12-22;330.8;322.6;335.3;319.9;35360.0;2.54;1289.7;2.904;1879.0;325.47142857142853;-7.497979808822111;328.33899466430785;352.9363160173161;337.9278101352692;322.3799999999993;306.8321898647294;303.4;37.91746797376671;15.680512195410598;318.2457142857144;354.0828571428571;7.7739050676349635;2078.54;4781.42;17959.44;1.0;1.0
2018-04-14;8004.4;7891.1;8180.2;7839.3;164710.0;1.48;1344.7;3.2165;2291.0;7874.67142857143;129.67973303878568;7514.271002457257;7242.786421052629;8542.32111399937;7527.060000000012;6511.798886000656;6560.5664;1847.606525438268;548.6540347802638;7576.088571428571;6693.397142857141;507.6305569996781;2656.3;7106.65;24360.14;1.0;0.0
2016-01-21;410.2;414.6;423.4;403.9;89940.0;-1.05;1098.2;2.0415;1482.5;394.57142857142856;38.77209815585555;402.4066193612816;424.20409143610016;424.1889165079866;394.2399999999994;364.29108349201215;440.5280365019136;65.59199237635397;20.517828018387696;380.9914285714289;451.8514285714282;14.974458253993625;1868.99;4472.06;15882.68;0.0;0.0
2015-09-29;236.7;238.9;240.4;234.8;57300.0;-0.9;1127.1;2.284;1560.5;236.0142857142857;-0.2530138224273744;234.7970985602413;232.6136842105263;239.8332057155323;235.47999999999948;231.12679428446663;224.426;20.16427048758762;6.433419462019758;235.80000000000004;228.92857142857147;2.1766028577664187;1884.09;4517.32;16049.13;0.0;0.0
2020-05-19;9773.3;9730.8;9883.9;9498.7;1160000.0;0.44;1745.6;2.5135;1492.0;9471.742857142855;300.61841474900035;9548.589871062011;8425.866233256938;9953.600127062024;9575.84000000003;9198.079872938037;8426.49443503616;2066.296895059089;500.7869022052368;9540.608571428573;9256.634285714284;188.8800635309969;2922.94;9185.1;24206.86;0.0;0.0
2018-04-16;8070.0;8362.2;8412.9;7908.5;197700.0;-3.51;1347.5;3.2415;2408.0;8100.457142857143;-43.28369409453616;7812.452438882207;7289.529428571428;8388.02682357768;8050.400000000013;7712.773176422347;6734.31791936;1807.8678714238129;536.1042442748193;8034.922857142859;6597.419999999997;168.81341178883312;2677.84;7156.28;24573.04;0.0;1.0
2017-10-18;5575.8;5598.6;5601.3;5114.9;122020.0;-0.41;1281.2;3.2605;2121.5;5760.014285714285;-212.02631314215404;5508.0506230541005;4719.529446640316;5877.647211287751;5689.300000000003;5500.952788712255;5862.7;1183.0527835864716;292.6837212879578;5940.354285714288;4291.402857142856;94.1736056438742;2561.26;6624.22;23157.6;1.0;1.0
2019-04-20;5290.2;5241.0;5327.0;5240.2;782320.0;0.94;1273.1;2.988;1867.5;5300.857142857142;-10.705981246926632;5207.493691844662;4770.7013806267805;5314.914431117549;5237.02000000002;5159.125568882492;5327.257880327362;748.0027797445464;156.63603873732427;5205.25142857143;5132.72;38.94721555876399;2905.03;7998.06;26559.54;0.0;1.0
2018-04-26;9287.0;8874.5;9303.6;8669.8;248390.0;4.67;1314.6;3.2665;2280.5;9209.514285714286;100.62924101299862;8976.361417640263;7723.750689865689;9739.497375975196;9112.980000000014;8486.46262402483;8416.727814758939;2039.6663426438167;526.0082187026894;9329.388571428572;7821.782857142857;313.25868798759177;2666.94;7118.68;24322.34;0.0;0.0
