Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;SMA_7d;SMA_15d;SMA_30d;SMA_50d;SMA_100d;SMA_200d;EMA_7d;EMA_15d;EMA_30d;EMA_50d;EMA_100d;EMA_200d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;SMA_7d_ET;SMA_15d_ET;SMA_30d_ET;SMA_50d_ET;SMA_100d_ET;SMA_200d_ET;EMA_7d_ET;EMA_15d_ET;EMA_30d_ET;EMA_50d_ET;EMA_100d_ET;EMA_200d_ET;HTTL_ET;PSAR_ET
2014-03-09;627.0;609.2;637.6;598.5;1950.0;2.93;1.0;640.5000000000006;531.2666666666668;460.89999999999947;646.8579999999995;762.6110000000003;515.5144999999998;611.2464533887786;559.8919641404568;558.070193275772;602.6116157787727;630.3182298621755;541.5108841490563;532.9068145622404;669.1693976340539;631.8999999999994;594.6306023659449;343.1613815851229;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-10;613.0;627.0;633.7;594.7;2630.0;-2.25;0.0;633.4714285714291;551.4533333333334;459.70666666666614;640.0219999999995;756.6840000000004;517.9694999999998;611.6848400415839;566.5304686228997;561.6140517741093;603.0190033952914;629.97529461738;542.2222186351354;504.2975730877937;650.9268937407671;622.8399999999995;594.7531062592318;364.2956986900155;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-11;608.7;613.0;619.7;599.9;2430.0;-0.7;0.0;625.8857142857148;580.4333333333335;458.0099999999995;633.0759999999996;752.7270000000004;520.4204999999998;610.9386300311879;571.8016600450372;564.651854885457;603.2417875758682;629.5540016546596;542.8836890964774;482.6134435615644;628.3121768210194;614.9199999999994;601.5278231789794;384.1619567686146;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-12;619.4;608.7;640.8;608.2;3200.0;1.76;1.0;620.3285714285719;612.6733333333335;459.2366666666661;626.2199999999996;747.9550000000003;522.9194999999997;613.0539725233909;577.7514525394076;568.1839932799437;603.8754429650498;629.3529323149634;543.6450454238757;466.53210752960814;629.3057791404212;615.4599999999994;601.6142208595775;402.8362393624977;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Comprar;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-13;625.0;619.4;636.1;616.1;3410.0;0.91;1.0;617.0000000000003;614.8000000000001;460.76999999999947;619.6999999999996;742.6560000000004;525.4339999999997;616.0404793925431;583.6575209719817;571.8495421005925;604.7038569664204;629.2667356354591;544.454547459459;460.17085496782147;632.5204460362041;618.6199999999993;604.7195539637945;420.3900650007478;Comprar;Mantener_posicion;Mantener_posicion;Comprar;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-14;614.0;625.0;631.2;610.6;4000.0;-1.76;0.0;616.6142857142861;615.9666666666668;463.5333333333328;613.0959999999995;736.4200000000003;527.9034999999997;615.5303595444074;587.4503308504841;574.5689264811995;605.0684115951882;628.9644240387173;545.1465420121012;461.14909820435406;627.2929055706742;616.0199999999993;604.7470944293244;436.89066110070297;Vender;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-15;624.0;614.0;628.8;609.2;3460.0;1.63;1.0;618.7285714285719;619.3066666666668;469.2866666666661;607.2459999999995;731.5970000000002;530.3669999999997;617.6477696583055;592.0190394941735;577.7580279985415;605.8108268267495;628.8661186122081;545.9311535343688;469.0994859514687;630.5231052992845;618.2199999999993;605.9168947007142;452.4012214346608;Comprar;Comprar;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Comprar;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-16;619.1;624.0;627.3;613.2;3300.0;-0.78;0.0;617.6000000000005;623.4200000000002;475.6666666666661;600.4079999999996;729.3380000000003;532.8184999999997;618.0108272437292;595.4041595574018;580.4252519986355;606.3319708727593;628.6727301248376;546.6592017579075;480.56486772486767;628.1851759654;620.2999999999994;612.4148240345987;466.98114814858116;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-17;606.4;619.1;622.5;602.7;3580.0;-2.06;0.0;616.6571428571433;627.5400000000002;483.5099999999994;592.3959999999995;728.4320000000002;535.2039999999996;615.1081204327969;596.7786396127266;582.101042192272;606.3346386816706;628.2316859639498;547.2536375613114;496.55911579161585;631.4497636345297;617.6999999999994;603.950236365469;480.68627925966626;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-18;598.9;606.4;611.7;585.7;3650.0;-1.23;0.0;615.2571428571433;623.32;493.47999999999945;585.5039999999996;726.3810000000002;537.5084999999996;611.0560903245977;597.0438096611358;583.1848459218028;606.0430842235659;627.6508604993171;547.7675317149302;514.452264957265;630.3736413288458;612.4799999999993;594.5863586711529;493.5691025040863;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
