Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_EUR_USD;Percentage_diff_EUR_USD;Price_USD_JPY;Percentage_diff_USD_JPY;Price_USD_CNY;Percentage_diff_USD_CNY
2021-09-14;47077.5;44950.2;47247.6;44718.7;65330.0;4.73;1.0;1.1802;-0.05;109.67;-0.28;6.4382;-0.2
2021-09-15;48130.6;47070.8;48436.5;46743.9;63400.0;2.24;1.0;1.1815;0.11;109.36;-0.28;6.432;-0.1
2021-09-16;47748.0;48132.3;48480.6;47040.3;60910.0;-0.8;0.0;1.1764;-0.43;109.7;0.31;6.4566;0.38
2021-09-17;47282.8;47748.2;48155.9;46788.8;50160.0;-0.97;0.0;1.1725;-0.33;109.96;0.24;6.4655;0.14
2021-09-18;48306.7;47283.9;48761.0;47070.5;43640.0;2.17;1.0;1.1725;-0.33;109.96;0.24;6.4655;0.14
2021-09-19;47238.7;48299.9;48341.9;46866.6;41980.0;-2.21;0.0;1.1725;-0.33;109.96;0.24;6.4655;0.14
2021-09-20;42870.6;47240.8;47323.9;42547.1;77960.0;-9.25;0.0;1.1725;-0.33;109.96;0.24;6.4655;0.14
2021-09-21;40651.3;43012.3;43619.3;39646.8;142550.0;-5.18;0.0;1.1725;-0.33;109.96;0.24;6.4655;0.14
2021-09-22;43551.6;40660.8;43976.7;40585.7;93980.0;7.13;1.0;1.1686;-0.32;109.78;0.52;6.4583;-0.11
2021-09-23;44869.2;43550.7;44949.8;43090.1;74540.0;3.03;1.0;1.1736;0.43;110.3;0.47;6.459;0.01
2021-09-24;42819.9;44867.4;45112.0;40908.5;128880.0;-4.57;0.0;1.1714;-0.19;110.72;0.38;6.466;0.11
2021-09-25;42686.8;42818.7;42959.3;41714.5;46350.0;-0.31;0.0;1.1714;-0.19;110.72;0.38;6.466;0.11
2021-09-26;43203.4;42685.8;43907.3;40786.6;69910.0;1.21;1.0;1.1714;-0.19;110.72;0.38;6.466;0.11
2021-09-27;42172.6;43200.9;44293.2;42143.9;54120.0;-2.39;0.0;1.1694;-0.17;111.0;0.25;6.456;-0.15
2021-09-28;41022.3;42169.9;42758.8;40906.4;60010.0;-2.73;0.0;1.1681;-0.11;111.5;0.45;6.4595;0.05
2021-09-29;41536.8;41023.1;42571.2;40815.0;48210.0;1.25;1.0;1.1595;-0.74;111.96;0.41;6.4702;0.17
2021-09-30;43823.3;41534.5;44101.2;41416.7;64319.99999999999;5.5;1.0;1.1581;-0.12;111.27;-0.62;6.4452;-0.39
2021-10-01;48146.0;43824.4;48435.2;43292.9;94660.0;9.86;1.0;1.1581;-0.12;111.27;-0.62;6.4452;-0.39
2021-10-02;47666.9;48147.2;48306.9;47451.7;39820.0;-1.0;0.0;1.1581;-0.12;111.27;-0.62;6.4452;-0.39
2021-10-03;48200.1;47665.4;49165.2;47123.0;42410.0;1.12;1.0;1.1581;-0.12;111.27;-0.62;6.4452;-0.39
2021-10-04;49227.3;48200.4;49481.7;46958.6;66920.0;2.13;1.0;1.1581;-0.12;111.27;-0.62;6.4452;-0.39
2021-10-05;51469.3;49229.5;51872.4;49060.1;76630.0;4.55;1.0;1.1581;-0.12;111.27;-0.62;6.4452;-0.39
2021-10-06;55323.2;51470.0;55676.1;50439.5;116260.0;7.49;1.0;1.1581;-0.12;111.27;-0.62;6.4452;-0.39
2021-10-07;53783.9;55325.2;55325.6;53476.4;75680.0;-2.78;0.0;1.1581;-0.12;111.27;-0.62;6.4452;-0.39
2021-10-08;53914.7;53785.5;55977.9;53659.3;64050.0;0.24;1.0;1.1567;0.15;112.22;0.56;6.4435;-0.03
2021-10-09;54942.5;53924.1;55430.8;53711.7;64650.00000000001;1.91;1.0;1.1567;0.15;112.22;0.56;6.4435;-0.03
2021-10-10;54687.7;54942.5;56432.2;54100.8;104430.0;-0.46;0.0;1.1567;0.15;112.22;0.56;6.4435;-0.03
2021-10-11;57477.3;54686.9;57814.1;54457.8;73840.0;5.1;1.0;1.1551;-0.14;113.3;0.96;6.4501;0.1
2021-10-12;56015.9;57480.6;57635.7;54155.4;74850.0;-2.54;0.0;1.1527;-0.21;113.6;0.26;6.4485;-0.02
2021-10-13;57380.1;56014.5;57697.4;54314.4;73620.0;2.44;1.0;1.1592;0.56;113.23;-0.33;6.4262;-0.35
2021-10-14;57345.8;57370.4;58506.5;56866.8;59840.0;-0.06;0.0;1.1594;0.02;113.66;0.38;6.438;0.18
2021-10-15;61672.5;57348.2;62892.8;56874.8;121480.0;7.54;1.0;1.16;0.05;114.2;0.48;6.434;-0.06
2021-10-16;60861.1;61669.2;62329.2;60161.9;49930.0;-1.32;0.0;1.16;0.05;114.2;0.48;6.434;-0.06
2021-10-17;61527.5;60865.5;61651.4;59143.4;53390.0;1.09;1.0;1.16;0.05;114.2;0.48;6.434;-0.06
2021-10-18;62056.3;61525.8;62623.6;60026.9;80150.0;0.86;1.0;1.1609;0.08;114.31;0.1;6.429;-0.08
2021-10-19;64278.5;62030.2;64454.0;61451.0;80160.0;3.58;1.0;1.1632;0.2;114.36;0.04;6.3822;-0.73
2021-10-20;65979.1;64276.9;66967.1;63543.7;79870.0;2.65;1.0;1.1649;0.15;114.26;-0.09;6.3936;0.18
2021-10-21;62210.2;66004.6;66616.9;62092.1;105380.0;-5.71;0.0;1.1621;-0.24;113.97;-0.25;6.3925;-0.02
2021-10-22;60690.3;62200.8;63699.7;60055.7;75690.0;-2.44;0.0;1.1647;0.22;113.46;-0.45;6.3839;-0.13
2021-10-23;61312.5;60693.2;61728.7;59738.3;37050.0;1.03;1.0;1.1647;0.22;113.46;-0.45;6.3839;-0.13
2021-10-24;60866.5;61308.2;61469.9;59523.7;42670.0;-0.73;0.0;1.1647;0.22;113.46;-0.45;6.3839;-0.13
2021-10-25;63067.0;60864.3;63694.8;60655.8;51060.0;3.62;1.0;1.1606;-0.35;113.7;0.21;6.3856;0.03
2021-10-26;60310.8;63067.5;63275.1;59907.3;57130.0;-4.37;0.0;1.1595;-0.09;114.14;0.39;6.382;-0.06
2021-10-27;58438.1;60312.5;61452.9;58112.6;88110.0;-3.11;0.0;1.1604;0.08;113.81;-0.29;6.3915;0.15
2021-10-28;60582.5;58437.2;62251.3;58128.1;88470.0;3.67;1.0;1.1679;0.65;113.56;-0.22;6.3917;0.0
2021-10-29;62242.8;60579.9;62952.2;60322.2;63390.0;2.74;1.0;1.1561;-1.01;114.0;0.39;6.405;0.21
2021-10-30;61840.1;62245.0;62338.5;60786.0;40510.0;-0.65;0.0;1.1561;-1.01;114.0;0.39;6.405;0.21
2021-10-31;61309.6;61842.2;62393.7;60005.7;50060.0;-0.86;0.0;1.1561;-1.01;114.0;0.39;6.405;0.21
2021-11-01;60915.3;61310.1;62430.1;59612.7;61210.0;-0.64;0.0;1.1606;0.39;113.98;-0.02;6.3972;-0.12
2021-11-02;63221.7;60912.2;64256.4;60651.5;65260.00000000001;3.79;1.0;1.1577;-0.25;113.95;-0.03;6.3995;0.04
2021-11-03;62918.5;63223.5;63508.6;60883.0;61050.0;-0.48;0.0;1.161;0.29;113.98;0.03;6.4061;0.1
2021-11-04;61412.6;62915.4;63077.6;60742.9;49910.0;-2.39;0.0;1.1552;-0.5;113.75;-0.2;6.397;-0.14
2021-11-05;60974.3;61411.5;62560.3;60742.4;44460.0;-0.71;0.0;1.1566;0.12;113.4;-0.31;6.398;0.02
2021-11-06;61483.9;60973.2;61543.2;60093.6;34890.0;0.84;1.0;1.1566;0.12;113.4;-0.31;6.398;0.02
2021-11-07;63273.2;61483.8;63273.2;61347.2;34340.0;2.91;1.0;1.1566;0.12;113.4;-0.31;6.398;0.02
2021-11-08;67527.9;63276.4;67763.3;63276.4;81080.0;6.72;1.0;1.1586;0.17;113.22;-0.16;6.3902;-0.12
2021-11-09;66904.4;67528.7;68493.3;66334.9;66130.0;-0.92;0.0;1.1591;0.04;112.85;-0.33;6.3916;0.02
2021-11-10;64932.6;66942.6;68990.6;62951.3;96210.0;-2.95;0.0;1.1478;-0.97;113.9;0.93;6.3882;-0.05
2021-11-11;64806.7;64922.8;65583.3;64121.9;50370.0;-0.19;0.0;1.145;-0.24;114.05;0.13;6.3898;0.03
2021-11-12;64134.5;64782.6;65449.7;62309.7;63270.0;-1.04;0.0;1.145;0.0;113.85;-0.18;6.3787;-0.17
2021-11-13;64398.6;64133.3;64906.0;63381.4;30340.0;0.41;1.0;1.145;0.0;113.85;-0.18;6.3787;-0.17
2021-11-14;65508.2;64397.2;65508.2;63608.3;33980.0;1.72;1.0;1.145;0.0;113.85;-0.18;6.3787;-0.17
2021-11-15;63597.9;65514.9;66311.2;63439.5;53530.0;-2.92;0.0;1.1367;-0.72;114.12;0.24;6.3824;0.06
2021-11-16;60089.1;63605.1;63605.6;58655.9;115360.0;-5.52;0.0;1.1319;-0.42;114.82;0.61;6.3919;0.15
2021-11-17;60367.8;60074.2;60814.5;58531.9;73930.0;0.46;1.0;1.1319;0.0;114.07;-0.65;6.3775;-0.23
2021-11-18;56955.3;60368.2;60936.9;56524.4;100370.0;-5.65;0.0;1.1369;0.44;114.24;0.15;6.3851;0.12
2021-11-19;58083.4;56908.3;58335.9;55626.3;74440.0;1.98;1.0;1.1289;-0.7;113.98;-0.23;6.3863;0.02
2021-11-20;59717.6;58080.8;59854.6;57435.3;44530.0;2.81;1.0;1.1289;-0.7;113.98;-0.23;6.3863;0.02
2021-11-21;58714.3;59724.0;60002.6;58528.3;40980.0;-1.68;0.0;1.1289;-0.7;113.98;-0.23;6.3863;0.02
2021-11-22;56308.8;58719.7;59288.3;55656.8;76450.0;-4.1;0.0;1.1234;-0.49;114.86;0.77;6.3842;-0.03
2021-11-23;57573.2;56304.8;57855.1;55542.5;72480.0;2.25;1.0;1.1246;0.11;115.12;0.23;6.391;0.11
2021-11-24;57171.7;57559.4;57697.4;55910.6;56680.0;-0.7;0.0;1.1197;-0.44;115.41;0.25;6.3917;0.01
2021-11-25;58935.1;57167.1;59387.3;57029.8;56790.0;3.08;1.0;1.1206;0.08;115.35;-0.05;6.386;-0.09
2021-11-26;53730.9;58937.3;59151.1;53533.5;104030.0;-8.83;0.0;1.1317;0.99;113.31;-1.77;6.3924;0.1
2021-11-27;54765.9;53747.2;55280.3;53654.3;40710.0;1.93;1.0;1.1317;0.99;113.31;-1.77;6.3924;0.1
2021-11-28;57291.5;54758.0;57392.3;53448.3;49280.0;4.61;1.0;1.1317;0.99;113.31;-1.77;6.3924;0.1
2021-11-29;57794.8;57288.1;58855.2;56726.7;58650.0;0.88;1.0;1.1291;-0.23;113.52;0.19;6.3875;-0.08
2021-11-30;56882.9;57795.2;59174.4;55936.9;73660.0;-1.58;0.0;1.1336;0.4;113.13;-0.34;6.364;-0.37
