Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;HT_DCPERIOD;HT_DCPHASE;HT_PHASOR_inphase;HT_PHASOR_quadrature;HT_SINE_sine;HT_PHASOR_leadsine;HT_SINE_integer
2021-02-28;45164.0;46136.0;46582.0;43100.6;135080.0;-2.11;0.0;32.361651433318414;206.22557335199718;-7274.510732546553;-24908.361336208738;-0.44190629037708595;-0.9467930056261964;1
2021-03-01;49595.5;45160.5;49774.0;45008.8;137520.0;9.81;1.0;33.022513851328576;209.8010330105477;-10460.343641432346;-7037.371371596596;-0.4969896062678484;-0.9650212214382903;1
2021-03-02;48424.2;49595.6;50191.9;47100.6;102100.0;-2.36;0.0;34.24411819361999;212.77155782889744;-9643.992226040456;1491.3756807711538;-0.5412908782809669;-0.9773108702184689;1
2021-03-03;50395.1;48422.2;52567.9;48159.2;44930.0;4.07;1.0;34.26273686468207;217.92624790084636;-8688.015784963598;11186.224171973196;-0.6146466247455381;-0.9923884571104534;1
2021-03-04;48428.0;50388.0;51757.7;47521.8;9560.0;-3.9;0.0;33.52814564774652;223.59198420349392;-5153.836349664687;13139.074041732594;-0.6895182238655875;-0.9996980618862304;1
2021-03-05;48792.5;48363.6;49429.4;46370.1;113640.0;0.75;1.0;32.33821014380467;236.23788496615077;-3805.96227571145;14420.14454348141;-0.8313521199292928;-0.9808265097856258;1
2021-03-06;48855.6;48798.7;49191.8;47132.8;66660.0;0.13;1.0;30.88924608721588;247.54414673797316;1095.8891556878934;15846.089962650047;-0.9241741180925864;-0.9235843984417763;1
2021-03-07;50982.3;48899.0;51434.1;48890.6;82910.0;4.35;1.0;29.309745580104185;268.794033508724;4143.3758440086995;5537.103301409992;-0.99977849721683;-0.7218323004571682;1
2021-03-08;52311.0;50988.9;52384.9;49338.1;68140.0;2.61;1.0;27.830735268530873;292.29956807777194;3815.013565351643;-923.1854945712536;-0.9252125788764677;-0.3859129968344447;1
2021-03-09;54879.0;52352.4;54880.6;51941.3;114060.0;4.91;1.0;26.497296639212234;-19.517364688438533;2803.8744254218946;-4608.841415576077;-0.33409253118591714;0.43023752962799433;1
2021-03-10;55851.9;54882.7;57328.7;53073.6;140960.0;1.77;1.0;25.25242061139166;23.20799024640928;374.88507601338495;-3319.703077954116;0.39407008479687783;0.9285376073650872;1
2021-03-11;57799.5;55851.2;58135.0;54351.8;129630.0;3.49;1.0;24.102764053285366;60.421222092912;384.74981670746797;2188.850127630631;0.8696778236498534;0.9639969773397523;1
