Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Perc_diff_gold;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Trend;Residuals
2014-11-06;347.7;338.0;351.1;335.7;15650.0;2.86;1.0;1264.4;-0.29;3.03;0.26;2079.75;0.81;340.75714285714287;30.08638387014124
2014-11-07;341.9;347.7;351.6;340.2;15020.0;-1.67;0.0;1291.0;2.1;3.053;0.76;2059.0;-1.0;346.88571428571424;10.187775115475453
2014-11-08;343.5;341.9;346.3;339.8;8189.999999999999;0.49;1.0;1291.0;0.0;3.053;0.0;2059.0;0.0;352.2285714285714;-8.777409818355643
2014-11-09;362.0;343.5;362.2;341.8;12630.0;5.39;1.0;1291.0;0.0;3.053;0.0;2059.0;0.0;365.6571428571429;-0.3480138224276317
2014-11-10;367.1;362.0;374.7;356.6;22810.0;1.41;1.0;1281.3;-0.75;3.027;-0.85;2038.5;-1.0;377.2285714285714;-22.955122665964964
2014-11-11;365.4;367.1;371.0;361.9;15790.0;-0.47;0.0;1285.1;0.3;3.042;0.5;2050.5;0.59;385.02857142857135;-20.567299536713033
2014-11-12;432.0;365.4;442.7;365.8;38530.0;18.23;1.0;1280.4;-0.37;3.034;-0.26;2067.0;0.8;389.5142857142856;14.673686857844764
2014-11-13;428.7;432.0;480.5;390.9;58200.0;-0.77;0.0;1281.4;0.08;2.999;-1.15;2046.0;-1.02;392.88571428571424;58.957812441569864
2014-11-14;396.5;428.7;430.2;382.0;35730.0;-7.51;0.0;1305.6;1.89;3.058;1.97;2026.5;-0.95;395.4;16.273489401189742
2014-11-15;374.9;396.5;407.3;368.0;13330.0;-5.46;0.0;1305.6;0.0;3.058;0.0;2026.5;0.0;397.37142857142857;-22.520266961212833
2014-11-16;385.6;374.9;390.4;370.5;14350.0;2.87;1.0;1305.6;0.0;3.058;0.0;2026.5;0.0;390.1428571428571;-1.2337281081418183
2014-11-17;384.7;385.6;412.3;378.3;27600.0;-0.24;0.0;1303.7;-0.15;3.05;-0.26;2033.0;0.32;379.9428571428571;-8.069408380250723
2014-11-18;379.2;384.7;394.9;372.0;27090.0;-1.44;0.0;1315.5;0.91;3.011;-1.28;2011.0;-1.08;373.5571428571428;4.70412903471551
2014-11-19;381.4;379.2;389.3;374.3;19870.0;0.6;1.0;1313.4;-0.16;3.047;1.2;2020.0;0.45;370.2857142857143;-16.697741713583916
2014-11-20;357.3;381.4;383.0;355.1;21980.0;-6.33;0.0;1308.9;-0.34;3.027;-0.66;2033.5;0.67;367.47142857142853;12.972098155855598
2014-11-21;351.8;357.3;358.7;343.8;23470.0;-1.55;0.0;1315.9;0.53;3.035;0.26;2055.5;1.08;366.6428571428571;0.33063225833262067
2014-11-22;352.0;351.8;364.2;350.5;12940.0;0.07;1.0;1315.9;0.0;3.035;0.0;2055.5;0.0;366.2428571428571;-14.29169553264132
2014-11-23;365.9;352.0;370.6;352.6;12410.0;3.93;1.0;1315.9;0.0;3.035;0.0;2055.5;0.0;363.9571428571428;5.251986177572448
2014-11-24;378.9;365.9;388.7;361.9;24570.0;3.55;1.0;1314.2;-0.13;3.004;-1.02;2046.75;-0.43;365.5999999999999;0.4734487626064787
2014-11-25;376.4;378.9;395.7;370.6;45320.0;-0.64;0.0;1315.2;0.08;2.961;-1.43;2050.75;0.2;369.2857142857143;6.175557606144042
2014-11-26;365.4;376.4;378.3;364.0;23980.0;-2.94;0.0;1314.5;-0.05;2.96;-0.03;2062.5;0.57;372.7571428571428;-35.16917028501245
2014-11-27;368.8;365.4;374.4;364.8;13850.0;0.95;1.0;1314.5;0.0;2.96;0.0;2062.5;0.0;374.0428571428571;17.900669584427042
2014-11-28;377.6;368.8;383.3;358.4;43020.0;2.38;1.0;1291.2;8.61;2.86;-3.38;2005.0;-1.96;374.0;18.773489401189742
2014-11-29;376.3;377.6;389.3;372.2;83450.0;-0.35;0.0;1291.2;0.0;2.86;0.0;2005.0;0.0;374.59999999999997;1.6511616102158015
