Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;ADX;ADX_MDI;ADX_MDM;ADX_DX;ADX_PDI;ADX_PDM;Aroondown;Aroonup;Aroon_Oscillator;MACD;MACDSIGNAL;MACDHIST;MOM;ROC;RSI;STOCHRSI_fastk;STOCHRSI_fastd;ULTOSC;WILLR;ADX_ET;ADXR_ET;MACD_ET;ROC_ET;STOCHRSI_fastk_ET;STOCHRSI_fastd_ET
2022-03-09;41929.0;38731.5;42538.5;38663.3;3600000000.0;8.22;1.0;20.102059552835577;26.89864704422354;26.89864704422354;4.647215720775895;24.509595132033958;8223.775924663063;7.142857142857143;50.0;42.85714285714286;-219.4875141549055;-213.2429820663097;-6.244532088595804;4239.9000000000015;0.11249671655730706;56.70525079310658;100.0;56.86680900438091;47.22650673685796;-30.769512105917624;Mantener_posicion;Mantener_posición;Mantener_posicion;Comprar;Comprar;Mantener_posición
2022-03-10;39416.3;41933.9;42029.1;38603.5;3620000000.0;-5.99;0.0;19.023476202359184;24.407078093606767;24.407078093606767;5.00189264616607;22.081756495029463;7636.363358615701;0.0;42.85714285714286;42.85714285714286;-258.8855362310278;-222.37149289925333;-36.514043331774474;-3771.899999999994;-0.08733635576384277;47.368472419668855;41.49432639596515;70.6982511363693;44.42891385916036;-71.4039286191523;Mantener_posicion;Mantener_posición;Mantener_posicion;Vender;Vender;Mantener_posición
2022-03-11;38730.2;39422.5;40177.0;38236.4;2790000000.0;-1.74;0.0;18.1847906198734;24.094198776628193;24.094198776628193;7.281878047558234;20.823357133321846;7090.908833000294;14.285714285714286;35.714285714285715;21.42857142857143;-341.5342938549802;-246.2040530903987;-95.3302407645815;-5690.100000000006;-0.12809683860757368;45.11476890605482;26.99079657252562;56.161707656163834;47.11594854388131;-79.73857797106385;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-03-12;38814.3;38730.2;39355.3;38666.5;1110000000.0;0.22;1.0;17.406011150422316;23.580533400982656;23.580533400982656;7.281878047558234;20.37942298704658;6584.415344928844;7.142857142857143;28.571428571428573;21.42857142857143;-395.6866333739745;-276.10056914711384;-119.58606422686063;-5098.5;-0.1161050991965896;45.468134146600846;10.44367614645913;26.309599704983544;45.315797107805615;-78.71694262563926;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-03-13;37792.4;38813.2;39272.3;37603.4;1550000000.0;-2.63;0.0;17.17687905737384;25.6947089798821;25.6947089798821;14.198161847743629;19.305505671803708;6114.099963148213;0.0;21.42857142857143;21.42857142857143;-515.1235189415747;-323.905159106006;-191.21835983556872;-4670.5999999999985;-0.10999222852836583;41.83194642149773;0.0;12.47815757299516;44.74967037007861;-92.47667065248206;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-03-14;39671.1;37789.5;39914.3;37613.6;2330000000.0;4.97;1.0;16.58670542854177;23.830373073662734;23.830373073662734;8.914448253724844;19.929428230472766;6319.378537209055;50.0;14.285714285714286;-35.714285714285715;-452.9612666775429;-349.7163806203134;-103.24488605722951;528.4000000000015;0.013499324267360236;49.99995339216727;100.0;36.81455871548662;47.929597540906634;-69.31743938067824;Mantener_posicion;Mantener_posición;Mantener_posicion;Comprar;Comprar;Mantener_posición
2022-03-15;39285.7;39673.0;39854.7;38220.9;2250000000.0;-0.97;0.0;16.03868705891199;22.577574289245387;22.577574289245387;8.914448253724853;18.881708021305617;5867.994355979837;42.85714285714286;7.142857142857143;-35.714285714285715;-429.8408551695102;-365.74127553015273;-64.09957963935744;-110.10000000000582;-0.0027947141573468697;48.44924427333312;81.12469927951099;60.37489975983724;47.92056196490403;-74.06836700731009;Mantener_posicion;Mantener_posición;Mantener_posicion;Vender;Mantener_posicion;Mantener_posición
2022-03-16;41118.7;39282.5;41701.6;38953.2;4470000000.0;4.67;1.0;15.296649899737307;20.61428420697144;20.61428420697144;5.6501668304664365;23.083268855852594;7295.751901981278;35.714285714285715;0.0;-35.714285714285715;-260.605879142764;-344.714196252675;84.10831710991096;2715.5999999999985;0.07071304139509567;55.70846092536898;100.0;93.70823309317058;47.238385729992565;-42.907281982857405;Comprar;Mantener_posición;Comprar;Comprar;Mantener_posicion;Comprar
2022-03-17;40914.8;41118.7;41406.0;40557.8;1900000000.0;-0.5;0.0;14.60761539478939;20.035249028788275;20.035249028788275;5.650166830466439;22.43488230210176;6774.626766125472;28.571428571428573;0.0;-28.571428571428573;-141.3100332056565;-304.0333636432713;162.72333043761478;2890.0;0.0760030296017336;54.755457664910004;93.52742605610261;91.55070844520479;51.695899633384755;-34.12804856527715;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2022-03-18;41767.8;40914.6;42308.4;40234.8;2310000000.0;2.08;1.0;14.442508700803131;18.655633451183768;18.655633451183768;12.296121678981754;23.8866892107616;7193.1248542593685;21.42857142857143;0.0;-21.42857142857143;21.811327949697443;-238.86442532467754;260.675753274375;3023.0;0.07802337345914806;58.08817936315428;100.0;97.84247535203446;58.54669174924497;-14.388395190799733;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
