Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;Price_gold;Perc_diff_gold;Price_silver;Perc_diff_silver;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Price_platinum;Perc_diff_platinum;Price_palladium;Perc_diff_palladium
2015-10-06;246.1;240.1;247.6;239.4;78840.0;2.49;1.0;1146.4;0.76;15.984;1.76;2.383;-0.02;1544.0;-0.79;937.45;2.22;707.7;2.68
2015-10-07;243.0;246.1;247.3;241.6;62600.0;-1.28;0.0;1148.6;0.19;16.094;0.69;2.3905;0.31;1567.0;1.49;947.25;1.05;699.5;-1.16
2015-10-08;242.6;243.0;244.8;241.6;44150.0;-0.16;0.0;1144.2;-0.38;15.766;-2.04;2.3665;-1.0;1549.75;-1.1;952.2;0.52;703.15;0.52
2015-10-09;244.0;242.6;244.6;241.3;40570.0;0.6;1.0;1155.8;1.01;15.818;0.33;2.431;2.73;1601.75;3.36;983.4;3.28;708.15;0.71
2015-10-10;245.4;244.0;245.9;242.9;38960.0;0.54;1.0;1155.8;0.0;15.818;0.0;2.431;0.0;1601.75;0.0;983.4;0.0;708.15;0.0
2015-10-11;247.6;245.4;248.3;244.5;41430.0;0.94;1.0;1155.8;0.0;15.818;0.0;2.431;0.0;1601.75;0.0;983.4;0.0;708.15;0.0
2015-10-12;245.4;247.6;248.0;244.6;40390.0;-0.93;0.0;1164.4;0.74;15.864;0.47;2.4365;0.23;1581.0;-1.3;989.55;1.12;694.65;-1.91
2015-10-13;248.8;245.4;251.2;243.1;74880.0;1.4;1.0;1165.3;0.08;15.907;0.27;2.4065;-1.23;1580.5;-0.03;989.1;-0.05;685.35;-1.34
2015-10-14;252.3;248.8;255.1;248.3;69580.0;1.43;1.0;1179.6;1.23;16.117;1.32;2.428;0.89;1579.5;-0.06;1000.3;1.13;700.85;2.26
2015-10-15;254.4;252.3;256.8;251.2;60640.0;0.84;1.0;1187.3;0.65;16.164;0.29;2.436;0.33;1560.0;-1.23;1006.3;0.6;705.0;0.59
2015-10-16;262.9;254.4;267.3;253.9;95180.0;3.31;1.0;1182.9;-0.37;16.114;-0.31;2.4195;-0.68;1559.0;-0.06;1015.55;0.92;699.4;-0.79
2015-10-17;269.6;262.9;275.4;261.7;113840.0;2.55;1.0;1182.9;0.0;16.114;0.0;2.4195;0.0;1559.0;0.0;1015.55;0.0;699.4;0.0
2015-10-18;261.7;269.6;272.4;259.5;52270.0;-2.93;0.0;1182.9;0.0;16.114;0.0;2.4195;0.0;1559.0;0.0;1015.55;0.0;699.4;0.0
2015-10-19;263.8;261.7;266.0;259.9;58170.0;0.82;1.0;1172.5;-0.88;15.841;-1.09;2.3895;-1.24;1534.0;-1.6;1013.95;-0.36;688.1;-1.62
2015-10-20;269.8;263.8;272.1;262.7;75400.0;2.25;1.0;1177.2;0.4;15.917;0.48;2.386;-0.15;1545.0;0.72;1020.7;0.67;694.85;0.98
